	"gene_name"	"liver_filtered"	"para_aotic_filtered"	"retroperitoneal_filtered"	"paratracheal_filtered"
1	"ACTG2"	1	1	0	1
2	"TERF1"	1	1	1	1
3	"OCM2"	0	1	1	0
4	"AR"	1	1	1	1
5	"CDKN2A"	0	1	0	1
6	"IGFBP6"	1	1	0	1
7	"PPP3CA"	0	1	0	1
8	"HBB"	1	1	0	1
9	"NEDD4"	1	1	0	0
10	"CCNB2"	0	1	0	0
11	"TPM2"	1	1	1	1
12	"SFRP1"	1	1	0	1
13	"JAM3"	1	1	0	1
14	"C10orf116"	1	1	1	1
15	"HPGD"	1	1	0	0
16	"MYH11"	1	1	0	1
17	"RARB"	0	1	1	0
18	"MRPS14"	0	1	0	0
19	"FLNA"	1	1	0	1
20	"HLA-DQA1"	0	1	0	0
21	"MYLK"	1	1	0	1
22	"NCK2"	1	1	0	1
23	"EVI5"	0	1	0	0
24	"PBX1"	0	1	0	0
25	"GSTP1"	1	1	0	1
26	"RARRES1"	1	1	0	1
27	"AOC3"	1	1	0	0
28	"EFS"	1	1	0	1
29	"CNN1"	1	1	1	1
30	"EIF1AX"	1	1	1	1
31	"PTRF"	1	1	1	1
32	"SLC2A5"	0	1	0	0
33	"RARRES2"	0	1	0	1
34	"KIF5B"	0	1	0	0
35	"ETV5"	0	1	0	0
36	"PTN"	1	1	1	1
37	"ME3"	1	1	0	1
38	"FLNC"	1	1	0	1
39	"ILK"	1	1	1	1
40	"LGALS3"	1	1	0	0
41	"LIPF"	0	1	0	0
42	"RND3"	0	1	0	1
43	"IFFO1"	0	1	0	0
44	"AP2B1"	1	1	1	1
45	"ZNF135"	0	1	0	1
46	"GATM"	0	1	0	0
47	"SPARCL1"	1	1	0	1
48	"SYN2"	0	1	0	0
49	"TPM1"	1	1	0	1
50	"FAM155B"	0	1	0	0
51	"TAGLN"	1	1	0	1
52	"NBL1"	1	1	0	0
53	"TCF21"	0	1	0	1
54	"AOX1"	0	1	0	1
55	"CHRDL1"	1	1	0	1
56	"LMOD1"	1	1	0	1
57	"COL11A1"	0	1	0	0
58	"FBLN1"	1	1	0	1
59	"VWA5A"	1	1	1	1
60	"FOXF1"	0	1	0	1
61	"TIAM1"	0	1	0	0
62	"PTGDS"	1	1	1	1
63	"FHL2"	1	1	0	1
64	"PAM"	1	1	0	1
65	"ALDH1B1"	0	1	0	1
66	"CSRP1"	1	1	1	1
67	"PLN"	1	1	0	1
68	"MAMLD1"	0	1	0	0
69	"TNIP1"	1	1	0	0
70	"MFAP4"	1	1	0	1
71	"MYL9"	1	1	1	1
72	"EMP3"	0	1	0	0
73	"HEXA"	0	1	0	0
74	"GAPDH"	1	1	0	1
75	"SLC12A4"	1	1	1	1
76	"BMPR1A"	0	1	0	0
77	"S100A13"	1	1	0	0
78	"TIMM8A"	0	1	1	0
79	"EPHB6"	0	1	0	0
80	"PAMR1"	1	1	1	1
81	"LPAR1"	1	1	0	0
82	"NR4A3"	0	1	0	0
83	"HOXC6"	1	1	0	1
84	"MS4A1"	1	1	0	1
85	"MICA"	1	1	0	1
86	"DES"	1	1	0	1
87	"CNN3"	0	1	0	0
88	"PPP1R12B"	1	1	0	1
89	"STAT6"	1	1	1	0
90	"MEIS2"	1	1	1	1
91	"GFER"	0	1	0	0
92	"FAM110B"	1	1	0	0
93	"IFITM3"	1	1	0	0
94	"GAS1"	1	1	0	1
95	"IFI27"	0	1	0	1
96	"SMARCD3"	1	1	0	0
97	"MUC1"	0	1	1	0
98	"GPX3"	0	1	0	1
99	"ACTB"	1	1	0	1
100	"STAT1"	0	1	0	1
101	"DUSP1"	0	0	0	1
102	"MSH6"	0	0	0	1
103	"GATA2"	0	0	0	1
104	"NR3C1"	0	0	0	1
105	"GSTM3"	0	0	0	1
106	"SLC20A2"	1	0	0	1
107	"GSK3B"	1	0	1	1
108	"AXL"	1	0	0	1
109	"FGFR2"	1	0	1	1
110	"EDNRA"	1	0	0	1
111	"DUSP8"	0	0	0	1
112	"PRKCI"	0	0	0	1
113	"UBE2C"	1	0	0	1
114	"BRAF"	0	0	1	1
115	"IGFBP2"	0	0	0	1
116	"KDM5A"	0	0	0	1
117	"TGFBR2"	1	0	0	1
118	"RHOB"	0	0	0	1
119	"RALA"	1	0	1	1
120	"RRAS"	1	0	1	1
121	"TGFBR3"	0	0	0	1
122	"WT1-AS"	0	0	0	1
123	"PKN2"	0	0	0	1
124	"CCND1"	0	0	1	1
125	"B2M"	1	0	0	1
126	"SPP1"	0	0	0	1
127	"ROR2"	0	0	1	1
128	"DUSP3"	0	0	0	1
129	"MT1F"	0	0	0	1
130	"MT1A"	0	0	0	1
131	"RBMS1"	1	0	0	1
132	"GLUD2"	0	0	0	1
133	"GLUD1"	0	0	0	1
134	"TAF13"	0	0	0	1
135	"CBX4"	1	0	0	1
136	"ADRBK2"	0	0	0	1
137	"SMTN"	1	0	0	1
138	"STK16"	0	0	0	1
139	"C21orf33"	0	0	0	1
140	"SERPINF2"	0	0	0	1
141	"FXYD1"	0	0	0	1
142	"THOC2"	0	0	0	1
143	"BICD1"	0	0	0	1
144	"FADS2"	1	0	0	1
145	"MATN2"	0	0	0	1
146	"CRYAB"	0	0	0	1
147	"ATP6V0E2"	0	0	0	1
148	"GJA1"	1	0	0	1
149	"VAMP5"	0	0	0	1
150	"FHL1"	1	0	0	1
151	"BASP1"	0	0	0	1
152	"PDLIM4"	1	0	1	1
153	"GSN"	1	0	0	1
154	"SMG1"	1	0	0	1
155	"ACTA2"	1	0	0	1
156	"STIL"	1	0	0	1
157	"DST"	0	0	0	1
158	"TNC"	1	0	0	1
159	"HIST1H2AM"	0	0	0	1
160	"PAK3"	0	0	0	1
161	"TUBA4A"	0	0	0	1
162	"SOX4"	0	0	0	1
163	"DNAJC3"	0	0	0	1
164	"FZD7"	0	0	0	1
165	"NCOA3"	0	0	0	1
166	"LGALS1"	1	0	0	1
